Amy Winehouse,https://s3.amazonaws.com/dropify-pro/images/artists/amy-winehouse-profile.jpg,https://s3.amazonaws.com/dropify-pro/images/artists/amy-winehouse-header.jpg
Ballyhoo!,https://s3.amazonaws.com/dropify-pro/images/artists/ballyhoo-profile.jpg,https://s3.amazonaws.com/dropify-pro/images/artists/ballyhoo-header.jpg
Bob Marley,https://s3.amazonaws.com/dropify-pro/images/artists/bob-marley-profile.jpg,https://s3.amazonaws.com/dropify-pro/images/artists/bob-marley-header.jpg
Boston,https://s3.amazonaws.com/dropify-pro/images/artists/boston-profile.jpg,https://s3.amazonaws.com/dropify-pro/images/artists/boston-header.jpg
Coldplay,https://s3.amazonaws.com/dropify-pro/images/artists/coldplay-profile.jpg,https://s3.amazonaws.com/dropify-pro/images/artists/coldplay-header.jpg
Creedence Clearwater Revival,https://s3.amazonaws.com/dropify-pro/images/artists/creedence-clearwater-revival-profile.jpg,https://s3.amazonaws.com/dropify-pro/images/artists/creedence-clearwater-revival-header.jpg
Enter Shikari,https://s3.amazonaws.com/dropify-pro/images/artists/enter-shikari-profile.jpg,https://s3.amazonaws.com/dropify-pro/images/artists/enter-shikari-header.jpeg
Iration,https://s3.amazonaws.com/dropify-pro/images/artists/iration-profile.jpg,https://s3.amazonaws.com/dropify-pro/images/artists/iration-header.jpg
Mumford & Sons,https://s3.amazonaws.com/dropify-pro/images/artists/mumford-and-songs-profile.jpg,https://s3.amazonaws.com/dropify-pro/images/artists/mumford-and-sons-header.jpg
Peter Mulvey,https://s3.amazonaws.com/dropify-pro/images/artists/peter-mulvey-profile.jpg,https://s3.amazonaws.com/dropify-pro/images/artists/peter-mulvey-header.jpg
Phoenix,https://s3.amazonaws.com/dropify-pro/images/artists/phoenix-profile.jpg,https://s3.amazonaws.com/dropify-pro/images/artists/phoenix-header.jpg
Ra Ra Riot,https://s3.amazonaws.com/dropify-pro/images/artists/ra-ra-riot-profile.jpg,https://s3.amazonaws.com/dropify-pro/images/artists/ra-ra-riot-header.jpg
Red Hot Chili Peppers,https://s3.amazonaws.com/dropify-pro/images/artists/red-hot-chili-peppers-profile.jpg,https://s3.amazonaws.com/dropify-pro/images/artists/red-hot-chili-peppers-header.jpg
Snow Patrol,https://s3.amazonaws.com/dropify-pro/images/artists/snow-patrol-profile.jpg,https://s3.amazonaws.com/dropify-pro/images/artists/snow-patrol-header.jpg
Steely Dan,https://s3.amazonaws.com/dropify-pro/images/artists/steely-dan-profile.jpg,https://s3.amazonaws.com/dropify-pro/images/artists/steely-dan-header.jpg
The Black Keys,https://s3.amazonaws.com/dropify-pro/images/artists/the-black-keys-profile.jpg,https://s3.amazonaws.com/dropify-pro/images/artists/the-black-keys-header.jpg
The Civil Wars,https://s3.amazonaws.com/dropify-pro/images/artists/the-civil-wars-profile.jpg,https://s3.amazonaws.com/dropify-pro/images/artists/the-civil-wars-header.jpg
The Doobie Brothers,https://s3.amazonaws.com/dropify-pro/images/artists/the-doobie-brothers-profile.jpg,https://s3.amazonaws.com/dropify-pro/images/artists/the-doobie-brothers-header.jpg
Vampire Weekend,https://s3.amazonaws.com/dropify-pro/images/artists/vampire-weekend-profile.jpg,https://s3.amazonaws.com/dropify-pro/images/artists/vampire-weekend-header.jpg
Wiz Khalifa,https://s3.amazonaws.com/dropify-pro/images/artists/wiz-khalifa-profile.jpg,https://s3.amazonaws.com/dropify-pro/images/artists/wiz-khalifa-header.jpg